"7/21/2013","3","","","157","27:00:00"
"7/27/2013","4.5","","","","40 ?"
"8/3/2013","5","","","","45:50:00"
"8/7/2013","3","","","160 !","26:35:00"
"8/11/2013","3","","","159","26:45:00"
"8/12/2013","3","","","159","28:00:00"
"8/14/2013","3","","","158","27:27:00"
"8/16/2013","3","","","","26:00:00"
"8/23/2013","3","","","158","27:17:00"
"8/27/2013","3","","","159","26:26:00"
"9/1/2013","3","","","158","27:33:00"
"9/2/2013","3","","","158","27:31:00"
"9/7/2013","3","","","158","27:41:00"
"9/11/2013","2","","","158","18:20:00"
"9/14/2013","2","","","161","18:00:00"
"9/15/2013","6","","","",""
"9/18/2013","4","","","158","35:27:00"
"9/21/2013","4","","","158","34:12:00"
"9/24/2013","3","","","158","25:32:00"
"10/6/2013","4","","","",""
"10/9/2013","7","","","158","1:05:00"
"10/11/2013","1","","","",""
"10/11/2013","2","","","159","18:00:00"
"10/13/2013","3","","","159","30:00:00"
"10/13/2013","1","","","",""
"10/17/2013","3","","","160","27:00:00"
"10/20/2013","4.4","","","","36:36:00"
"10/20/2013","3.6","","","",""
"11/13/2013","3","","","162","26:48:00"
"11/27/2013","3","","","164","26:27:00"
"12/3/2013","5","","","163","49:00:00"
"12/7/2013","3","","","164","29:00:00"
"12/8/2013","2.5","","","163","25:00:00"
"12/12/2013","3","","","163","26:52:00"
"12/13/2013","6","","","165","58:42:00"
"12/21/2013","7","","","162","69:00:00"
"12/24/2013","3","","","165","28:00:00"
"12/26/2013","4","","","165","38:50:00"
"12/27/2013","4","","","163","39:30:00"
"12/31/2013","3","","","164","28:30:00"
"12/31/2013","3","","","164","27:30:00"
"1/16/2014","4","","","165","39:30:00"
"1/25/2014","4","","","166","40:00:00"
"1/29/2014","5","","","165","45:00:00"
"1/31/2014","4","","","164","40:00:00"
"2/5/2014","3","","","167","26:56:00"
"2/7/2014","3","","","165","26:43:00"
"2/9/2014","3","","","165","27:45:00"
"2/15/2014","3","","","166","26:40:00"
"2/21/2014","4","","","165","34:15:00"
"2/22/2014","","","350","",""
"2/25/2014","4","","","167","33:38:00"
"3/1/2014","","","750","",""
"3/2/2014","5.6","","","166",""
"3/10/2014","","","750","",""
"3/11/2014","5.6","","","166","50:55:00"
"4/6/2014","3","","","169","28:00:00"
"4/8/2014","4","","","168","36:36:00"
"4/18/2014","3","","","167","27:45:00"
"4/19/2014","","","1000","",""
"4/22/2014","3.5","","","167","32:00:00"
"4/26/2014","4","","","168","37:25:00"
"4/28/2014","3","","","166","30:00:00"
